ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                    (deg)          (deg)          (k)            (cm/s2) 
TIC 376998123       284.649041     56.859897      7678.0         4.32957983     
TIC 188833961       263.549868     53.774164      3482.0         4.64755011     
TIC 298073544       201.553805     77.721616      6490.0         4.06389999     
TIC 150228299       143.453887     52.443934      7883.0         3.98438001     
TIC 4897192         148.125537     35.524623      3836.0         None           
TIC 414964447       140.775713     22.307888      3872.0         4.63697004     
TIC 251086090       139.608543     48.936378      5515.0         3.77989006     
TIC 326258494       298.841893     67.871502      7419.0         4.33345985     
TIC 85293265        159.184279     35.826749      6118.0         4.09716988     
TIC 160268897       182.906424     77.527161      8511.0         3.66736007     
TIC 159453120       242.582342     80.535486      4993.0         4.59891987     
TIC 279980938       297.016251     67.785746      6786.0         4.14398003     
TIC 142381664       196.251968     64.594902      None           None           
TIC 366490487       299.822561     67.525311      6388.0         3.9482801      
TIC 230118661       249.672251     69.66153       6470.0         3.57736993     
TIC 302604415       136.543808     33.630641      6216.0         4.34492016     
TIC 156463352       217.455048     77.211374      5611.0         4.56045008     
TIC 420174622       292.300083     72.746564      6790.0         4.33971977     
TIC 157329765       181.251469     62.971746      5529.0         4.50240993     
TIC 456311539       134.418714     48.486035      5034.18017578  4.60808992     
TIC 229501164       296.825399     63.922712      4854.0         None           
TIC 88647188        136.062515     36.308226      6858.02001953  4.1373601      
TIC 17122367        144.017824     37.552877      5485.25976563  4.49728012     
TIC 383676357       279.389657     62.526572      10495.0        3.9326601      
TIC 148917657       188.402381     68.527877      4643.0         None           
TIC 188503588       133.982012     36.19619       5332.0         4.5481801      
TIC 148966580       191.268065     71.924937      6983.0         4.24945021     
TIC 88645453        130.673911     39.061457      3772.0         None           
TIC 21411266        134.712321     38.604292      4720.0         None           
TIC 287178970       149.537224     62.543853      5399.0         4.43075991     
TIC 207435026       244.313968     59.755015      3740.0         None           
TIC 39126848        152.073593     38.764506      6467.16015625  4.12763977     
TIC 236714513       239.261147     65.223965      6486.0         4.31057978     
TIC 156816498       140.348364     37.238127      6419.0         4.3544302      
TIC 8921849         152.800699     34.414615      5872.37011719  4.41144991     
TIC 219007651       221.139902     69.836964      6665.0         4.28416014     
TIC 219737890       241.646467     64.295533      4305.0         None           
TIC 330706082       141.768396     27.133694      3944.0         None           
TIC 21410299        134.636404     37.100398      5371.95019531  None           
