 ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                     (deg)          (deg)          (k)            (cm/s2) 
 TIC 229783705       283.74265      66.371382      3479.0         4.7740202      
 TIC 154204209       214.470334     69.234294      6541.0         None           
 TIC 219854858       256.814403     67.639775      5758.0         4.49257994     
 TIC 198211758       248.188449     64.697673      6527.0         4.36738014     
 TIC 159510452       247.602574     81.535894      3387.0         4.81175995     
 TIC 233060572       269.845341     61.891042      3149.0         4.90264988     
 TIC 424389265       281.222872     74.148765      2976.0         5.11622        
 TIC 137729107       174.067185     56.400427      3112.0         5.07588005     
 TIC 198204303       246.81922      65.592212      6518.0         3.92301989     
 TIC 160602230       244.696408     73.475538      3286.0         4.88547993     
 TIC 232977473       218.133082     63.984705      3315.0         4.93437004     
 TIC 233131533       274.48763      60.574161      5493.0         4.46070004     
 TIC 1551660228      278.014456     70.043987      3735.0         4.87726021     
 TIC 137752707       175.114294     57.970406      12849.0        None           
 TIC 331945698       151.767607     35.449032      3007.0         5.06892014     
 TIC 356736072       177.418165     71.896789      3464.0         4.85705996     
 TIC 86273641        140.946645     63.962436      3265.0         4.93675995     
 TIC 230131686       252.206341     69.163282      6101.0         None           
 TIC 67949769        142.653834     47.870198      6536.85986328  3.80566001     
 TIC 232982544       241.581993     67.810135      10046.0        4.16504002     
 TIC 137804387       177.203499     59.375587      3306.0         4.87715006     
 TIC 258799793       286.628143     68.284686      3595.0         4.68697023     
 TIC 67392956        154.694216     32.360417      6284.10009766  None           
 TIC 137647367       139.032724     56.943103      7135.0         4.09469986     
 TIC 230395228       286.673233     63.754117      3177.0         4.86755991     
 TIC 256516343       299.307724     64.905657      4087.0         4.57075977     
 TIC 471011933       236.014496     77.794493      None           None           
 TIC 172519043       142.756139     25.281108      3292.0         4.79973984     
 TIC 389968535       277.23384      56.186197      3562.0         4.67417002     
 TIC 229444785       293.760108     63.169164      4856.0         4.57086992     
 TIC 341687654       192.2615       66.1102        None           4.78980017     
 TIC 284971444       266.007906     53.479397      6397.0         4.23968983     
